periode_data,periode_pemantauan,titik_sampel,nama_sungai,alamat,latitude,longitude,jenis_parameter,parameter,baku_mutu,hasil_pengukuran
202405,PERIODE 2,KLT 4,KALIBARU TIMUR,JL SMA 14,-6.255905469,106.8649615,KIMIA,TOTAL P,0.2,0.3
202405,PERIODE 2,KLT 4,KALIBARU TIMUR,JL SMA 14,-6.255905469,106.8649615,KIMIA,F,1.5,0.01
202405,PERIODE 2,KLT 4,KALIBARU TIMUR,JL SMA 14,-6.255905469,106.8649615,KIMIA,H2S,0.002,0.002
202405,PERIODE 2,SPK 3,SEPAK,JL INSPEKSI CENGKARENG DRAIN TAMAN KOTA,-6.166694,106.747964,KIMIA,CD,0.01,0.0009
202405,PERIODE 2,PSG 1,PESANGGRAHAN,JL RAYA CIPUTAT PASAR JUMAT ASRAMA POLISI,-6.290602,106.766668,BIOLOGI,TOTAL COLIFORM,5000.0,4100.0
202405,PERIODE 2,PSG 1,PESANGGRAHAN,JL RAYA CIPUTAT PASAR JUMAT ASRAMA POLISI,-6.290602,106.766668,BIOLOGI,FECAL COLIFORM,1000.0,520.0
202405,PERIODE 2,PSG 1,PESANGGRAHAN,JL RAYA CIPUTAT PASAR JUMAT ASRAMA POLISI,-6.290602,106.766668,FISIKA,WARNA,50.0,14.0
202405,PERIODE 2,PSG 1,PESANGGRAHAN,JL RAYA CIPUTAT PASAR JUMAT ASRAMA POLISI,-6.290602,106.766668,KIMIA,SULFAT,300.0,14.0
202405,PERIODE 2,PSG 1,PESANGGRAHAN,JL RAYA CIPUTAT PASAR JUMAT ASRAMA POLISI,-6.290602,106.766668,KIMIA,KLORIDA,300.0,10.0
202405,PERIODE 2,PSG 1,PESANGGRAHAN,JL RAYA CIPUTAT PASAR JUMAT ASRAMA POLISI,-6.290602,106.766668,KIMIA,AMONIAK,0.2,0.3
202405,PERIODE 2,PSG 1,PESANGGRAHAN,JL RAYA CIPUTAT PASAR JUMAT ASRAMA POLISI,-6.290602,106.766668,KIMIA,TOTAL N,15.0,18.5399
202405,PERIODE 2,PSG 1,PESANGGRAHAN,JL RAYA CIPUTAT PASAR JUMAT ASRAMA POLISI,-6.290602,106.766668,KIMIA,NI,0.05,0.03
202405,PERIODE 2,PSG 1,PESANGGRAHAN,JL RAYA CIPUTAT PASAR JUMAT ASRAMA POLISI,-6.290602,106.766668,KIMIA,SIANIDA,0.02,0.03
202405,PERIODE 2,PSG 2,PESANGGRAHAN,JL TANAH KUSIR MAKAM,-6.25443104,106.7691631,FISIKA,TDS,1000.0,107.0
202405,PERIODE 2,PSG 2,PESANGGRAHAN,JL TANAH KUSIR MAKAM,-6.25443104,106.7691631,FISIKA,TSS,50.0,33.0
202405,PERIODE 2,PSG 2,PESANGGRAHAN,JL TANAH KUSIR MAKAM,-6.25443104,106.7691631,KIMIA,PH,6.9,6.995
202405,PERIODE 2,PSG 2,PESANGGRAHAN,JL TANAH KUSIR MAKAM,-6.25443104,106.7691631,KIMIA,BOD,3.0,12.0
202405,PERIODE 2,PSG 2,PESANGGRAHAN,JL TANAH KUSIR MAKAM,-6.25443104,106.7691631,KIMIA,COD,25.0,41.0
202405,PERIODE 2,PSG 2,PESANGGRAHAN,JL TANAH KUSIR MAKAM,-6.25443104,106.7691631,KIMIA,DO,4.0,4.4
202405,PERIODE 2,PSG 2,PESANGGRAHAN,JL TANAH KUSIR MAKAM,-6.25443104,106.7691631,KIMIA,NITRAT,10.0,4.0
202405,PERIODE 2,PSG 2,PESANGGRAHAN,JL TANAH KUSIR MAKAM,-6.25443104,106.7691631,KIMIA,NITRIT,0.06,0.1459
202405,PERIODE 2,PSG 2,PESANGGRAHAN,JL TANAH KUSIR MAKAM,-6.25443104,106.7691631,KIMIA,TOTAL P,0.2,0.1327
202405,PERIODE 2,PSG 2,PESANGGRAHAN,JL TANAH KUSIR MAKAM,-6.25443104,106.7691631,KIMIA,F,1.5,0.01
202405,PERIODE 2,PSG 2,PESANGGRAHAN,JL TANAH KUSIR MAKAM,-6.25443104,106.7691631,KIMIA,H2S,0.002,0.004
202405,PERIODE 2,PSG 2,PESANGGRAHAN,JL TANAH KUSIR MAKAM,-6.25443104,106.7691631,KIMIA,KLORIN BEBAS N IN SITU,0.03,0.0
202405,PERIODE 2,SPK 3,SEPAK,JL INSPEKSI CENGKARENG DRAIN TAMAN KOTA,-6.166694,106.747964,KIMIA,FENOL,0.005,0.0009
202405,PERIODE 2,CLW2 1,CILIWUNG,JL HALIMUN,-6.204944,106.833889,KIMIA,CD,0.01,0.0009
202405,PERIODE 2,PSG 2,PESANGGRAHAN,JL TANAH KUSIR MAKAM,-6.25443104,106.7691631,KIMIA,ZN,0.05,0.006
202405,PERIODE 2,PSG 2,PESANGGRAHAN,JL TANAH KUSIR MAKAM,-6.25443104,106.7691631,KIMIA,CU,0.02,0.015
202405,PERIODE 2,PSG 2,PESANGGRAHAN,JL TANAH KUSIR MAKAM,-6.25443104,106.7691631,KIMIA,PB,0.03,0.002
202405,PERIODE 2,PSG 2,PESANGGRAHAN,JL TANAH KUSIR MAKAM,-6.25443104,106.7691631,KIMIA,CR6,0.05,0.001
202405,PERIODE 2,PSG 2,PESANGGRAHAN,JL TANAH KUSIR MAKAM,-6.25443104,106.7691631,KIMIA,MINYAK DAN LEMAK,1.0,0.2
202405,PERIODE 2,PSG 2,PESANGGRAHAN,JL TANAH KUSIR MAKAM,-6.25443104,106.7691631,KIMIA,MBAS,0.2,0.01
202405,PERIODE 2,CLW2 2,CILIWUNG,JL KH MAS MANSYUR KARET TENGSIN,-6.200984,106.815148,KIMIA,CD,0.01,0.0009
202405,PERIODE 2,PSG 2,PESANGGRAHAN,JL TANAH KUSIR MAKAM,-6.25443104,106.7691631,BIOLOGI,TOTAL COLIFORM,5000.0,20000.0
202405,PERIODE 2,PSG 2,PESANGGRAHAN,JL TANAH KUSIR MAKAM,-6.25443104,106.7691631,BIOLOGI,FECAL COLIFORM,1000.0,1600.0
202405,PERIODE 2,PSG 2,PESANGGRAHAN,JL TANAH KUSIR MAKAM,-6.25443104,106.7691631,FISIKA,WARNA,50.0,13.0
202405,PERIODE 2,PSG 2,PESANGGRAHAN,JL TANAH KUSIR MAKAM,-6.25443104,106.7691631,KIMIA,SULFAT,300.0,14.0
202405,PERIODE 2,PSG 2,PESANGGRAHAN,JL TANAH KUSIR MAKAM,-6.25443104,106.7691631,KIMIA,KLORIDA,300.0,12.0
202405,PERIODE 2,STR 1,SUNTER,JL PONDOK RANGON,-6.345091,106.917216,KIMIA,DO,4.0,2.295
202405,PERIODE 2,STR 1,SUNTER,JL PONDOK RANGON,-6.345091,106.917216,KIMIA,NITRAT,10.0,4.0
202405,PERIODE 2,KLB 5,KALIBARU BARAT,JL PASAR MINGGU RAYA JEMBATAN GERBANG AURI,-6.2461274,106.8427061,KIMIA,PB,0.03,0.019
202405,PERIODE 2,KLB 5,KALIBARU BARAT,JL PASAR MINGGU RAYA JEMBATAN GERBANG AURI,-6.2461274,106.8427061,KIMIA,CR6,0.05,0.001
202405,PERIODE 2,KLB 5,KALIBARU BARAT,JL PASAR MINGGU RAYA JEMBATAN GERBANG AURI,-6.2461274,106.8427061,KIMIA,MINYAK DAN LEMAK,1.0,0.2
202405,PERIODE 2,KLB 5,KALIBARU BARAT,JL PASAR MINGGU RAYA JEMBATAN GERBANG AURI,-6.2461274,106.8427061,KIMIA,MBAS,0.2,0.011
202405,PERIODE 2,CLW3 1,CILIWUNG,JEMBATAN JALAN TAMBAK,-6.201389,106.850944,KIMIA,FENOL,0.005,0.0009
202405,PERIODE 2,KLB 5,KALIBARU BARAT,JL PASAR MINGGU RAYA JEMBATAN GERBANG AURI,-6.2461274,106.8427061,BIOLOGI,TOTAL COLIFORM,5000.0,980.0
202405,PERIODE 2,KLB 5,KALIBARU BARAT,JL PASAR MINGGU RAYA JEMBATAN GERBANG AURI,-6.2461274,106.8427061,BIOLOGI,FECAL COLIFORM,1000.0,288.0
202405,PERIODE 2,KLB 5,KALIBARU BARAT,JL PASAR MINGGU RAYA JEMBATAN GERBANG AURI,-6.2461274,106.8427061,FISIKA,WARNA,50.0,10.0
202405,PERIODE 2,KLB 5,KALIBARU BARAT,JL PASAR MINGGU RAYA JEMBATAN GERBANG AURI,-6.2461274,106.8427061,KIMIA,SULFAT,300.0,26.0
202405,PERIODE 2,KLB 5,KALIBARU BARAT,JL PASAR MINGGU RAYA JEMBATAN GERBANG AURI,-6.2461274,106.8427061,KIMIA,KLORIDA,300.0,22.0
202405,PERIODE 2,KLB 5,KALIBARU BARAT,JL PASAR MINGGU RAYA JEMBATAN GERBANG AURI,-6.2461274,106.8427061,KIMIA,AMONIAK,0.2,4.1
202405,PERIODE 2,KLB 5,KALIBARU BARAT,JL PASAR MINGGU RAYA JEMBATAN GERBANG AURI,-6.2461274,106.8427061,KIMIA,TOTAL N,15.0,6.4454
202405,PERIODE 2,KLB 5,KALIBARU BARAT,JL PASAR MINGGU RAYA JEMBATAN GERBANG AURI,-6.2461274,106.8427061,KIMIA,NI,0.05,0.0095
202405,PERIODE 2,KLB 5,KALIBARU BARAT,JL PASAR MINGGU RAYA JEMBATAN GERBANG AURI,-6.2461274,106.8427061,KIMIA,SIANIDA,0.02,0.021
202405,PERIODE 2,KLB 6,KALIBARU BARAT,JL MINANGKABAU MANGGARAI,-6.211911111,106.844275,FISIKA,TDS,1000.0,186.0
202405,PERIODE 2,KLB 6,KALIBARU BARAT,JL MINANGKABAU MANGGARAI,-6.211911111,106.844275,FISIKA,TSS,50.0,27.0
202405,PERIODE 2,KLB 6,KALIBARU BARAT,JL MINANGKABAU MANGGARAI,-6.211911111,106.844275,KIMIA,PH,6.9,7.425
202405,PERIODE 2,KLB 6,KALIBARU BARAT,JL MINANGKABAU MANGGARAI,-6.211911111,106.844275,KIMIA,BOD,3.0,25.0
202405,PERIODE 2,KLB 6,KALIBARU BARAT,JL MINANGKABAU MANGGARAI,-6.211911111,106.844275,KIMIA,COD,25.0,83.0
202405,PERIODE 2,KLB 6,KALIBARU BARAT,JL MINANGKABAU MANGGARAI,-6.211911111,106.844275,KIMIA,DO,4.0,1.65
202405,PERIODE 2,KLB 6,KALIBARU BARAT,JL MINANGKABAU MANGGARAI,-6.211911111,106.844275,KIMIA,NITRAT,10.0,1.0
202405,PERIODE 2,KLB 6,KALIBARU BARAT,JL MINANGKABAU MANGGARAI,-6.211911111,106.844275,KIMIA,NITRIT,0.06,0.3917
202405,PERIODE 2,KLB 6,KALIBARU BARAT,JL MINANGKABAU MANGGARAI,-6.211911111,106.844275,KIMIA,TOTAL P,0.2,0.1744
202405,PERIODE 2,KLB 6,KALIBARU BARAT,JL MINANGKABAU MANGGARAI,-6.211911111,106.844275,KIMIA,F,1.5,0.05
202405,PERIODE 2,KLB 6,KALIBARU BARAT,JL MINANGKABAU MANGGARAI,-6.211911111,106.844275,KIMIA,H2S,0.002,0.023
202405,PERIODE 2,KLB 6,KALIBARU BARAT,JL MINANGKABAU MANGGARAI,-6.211911111,106.844275,KIMIA,KLORIN BEBAS N IN SITU,0.03,0.025
202405,PERIODE 2,CLW3 2,CILIWUNG,JL KWITANG DALAM GUNUNG AGUNG,-6.182375758,106.8368472,KIMIA,CD,0.01,0.0009
202405,PERIODE 2,KLT 5,KALIBARU TIMUR,JL OUTISTA III CIPINANG CEMPEDAK,-6.231694,106.869667,KIMIA,MINYAK DAN LEMAK,1.0,0.2
202405,PERIODE 2,KLT 5,KALIBARU TIMUR,JL OUTISTA III CIPINANG CEMPEDAK,-6.231694,106.869667,KIMIA,MBAS,0.2,0.02
202405,PERIODE 2,KLT 5,KALIBARU TIMUR,JL OUTISTA III CIPINANG CEMPEDAK,-6.231694,106.869667,KIMIA,FENOL,0.005,0.05
202405,PERIODE 2,KLT 5,KALIBARU TIMUR,JL OUTISTA III CIPINANG CEMPEDAK,-6.231694,106.869667,BIOLOGI,TOTAL COLIFORM,5000.0,11000.0
202405,PERIODE 2,KLT 5,KALIBARU TIMUR,JL OUTISTA III CIPINANG CEMPEDAK,-6.231694,106.869667,BIOLOGI,FECAL COLIFORM,1000.0,6050.0
202405,PERIODE 2,KLT 5,KALIBARU TIMUR,JL OUTISTA III CIPINANG CEMPEDAK,-6.231694,106.869667,FISIKA,WARNA,50.0,15.0
202405,PERIODE 2,KLT 5,KALIBARU TIMUR,JL OUTISTA III CIPINANG CEMPEDAK,-6.231694,106.869667,KIMIA,SULFAT,300.0,8.32
202405,PERIODE 2,KLT 5,KALIBARU TIMUR,JL OUTISTA III CIPINANG CEMPEDAK,-6.231694,106.869667,KIMIA,KLORIDA,300.0,10.0
202405,PERIODE 2,KLT 5,KALIBARU TIMUR,JL OUTISTA III CIPINANG CEMPEDAK,-6.231694,106.869667,KIMIA,AMONIAK,0.2,0.8
202405,PERIODE 2,STR 1,SUNTER,JL PONDOK RANGON,-6.345091,106.917216,KIMIA,NITRIT,0.06,0.146
202405,PERIODE 2,STR 1,SUNTER,JL PONDOK RANGON,-6.345091,106.917216,KIMIA,TOTAL P,0.2,0.1838
202405,PERIODE 2,STR 1,SUNTER,JL PONDOK RANGON,-6.345091,106.917216,KIMIA,F,1.5,0.12
202405,PERIODE 2,STR 1,SUNTER,JL PONDOK RANGON,-6.345091,106.917216,KIMIA,H2S,0.002,0.002
202405,PERIODE 2,STR 1,SUNTER,JL PONDOK RANGON,-6.345091,106.917216,KIMIA,KLORIN BEBAS N IN SITU,0.03,0.025
202405,PERIODE 2,CLW2 2,CILIWUNG,JL KH MAS MANSYUR KARET TENGSIN,-6.200984,106.815148,KIMIA,FENOL,0.005,0.0009
202405,PERIODE 2,KLT 7,KALIBARU TIMUR,GALUR,-6.174388889,106.8520361,KIMIA,CD,0.01,0.0009
202405,PERIODE 2,STR 1,SUNTER,JL PONDOK RANGON,-6.345091,106.917216,KIMIA,ZN,0.05,0.006
202405,PERIODE 2,STR 1,SUNTER,JL PONDOK RANGON,-6.345091,106.917216,KIMIA,CU,0.02,0.015
202405,PERIODE 2,STR 1,SUNTER,JL PONDOK RANGON,-6.345091,106.917216,KIMIA,PB,0.03,0.011
202405,PERIODE 2,STR 1,SUNTER,JL PONDOK RANGON,-6.345091,106.917216,KIMIA,CR6,0.05,0.001
202405,PERIODE 2,STR 1,SUNTER,JL PONDOK RANGON,-6.345091,106.917216,KIMIA,MINYAK DAN LEMAK,1.0,0.2
202405,PERIODE 2,STR 1,SUNTER,JL PONDOK RANGON,-6.345091,106.917216,KIMIA,MBAS,0.2,0.013
202405,PERIODE 2,PSG 5,PESANGGRAHAN,JL INSPEKSI CENGKARENG DRAIN TAMAN KOTA,-6.170194,106.749056,KIMIA,CD,0.01,0.0009
202405,PERIODE 2,STR 1,SUNTER,JL PONDOK RANGON,-6.345091,106.917216,BIOLOGI,TOTAL COLIFORM,5000.0,410.0
202405,PERIODE 2,STR 1,SUNTER,JL PONDOK RANGON,-6.345091,106.917216,BIOLOGI,FECAL COLIFORM,1000.0,100.0
202405,PERIODE 2,STR 1,SUNTER,JL PONDOK RANGON,-6.345091,106.917216,FISIKA,WARNA,50.0,11.0
202405,PERIODE 2,STR 1,SUNTER,JL PONDOK RANGON,-6.345091,106.917216,KIMIA,SULFAT,300.0,16.0
202405,PERIODE 2,STR 1,SUNTER,JL PONDOK RANGON,-6.345091,106.917216,KIMIA,KLORIDA,300.0,11.0
202405,PERIODE 2,STR 1,SUNTER,JL PONDOK RANGON,-6.345091,106.917216,KIMIA,AMONIAK,0.2,1.3
202405,PERIODE 2,STR 1,SUNTER,JL PONDOK RANGON,-6.345091,106.917216,KIMIA,TOTAL N,15.0,10.1767
202405,PERIODE 2,STR 1,SUNTER,JL PONDOK RANGON,-6.345091,106.917216,KIMIA,NI,0.05,0.05
202405,PERIODE 2,STR 1,SUNTER,JL PONDOK RANGON,-6.345091,106.917216,KIMIA,SIANIDA,0.02,0.013
202405,PERIODE 2,STR 2,SUNTER,JL RAYA HANKAM LUBANG BUAYA,-6.284368,106.908756,FISIKA,TDS,1000.0,150.0
202405,PERIODE 2,STR 2,SUNTER,JL RAYA HANKAM LUBANG BUAYA,-6.284368,106.908756,FISIKA,TSS,50.0,23.0
202405,PERIODE 2,STR 2,SUNTER,JL RAYA HANKAM LUBANG BUAYA,-6.284368,106.908756,KIMIA,PH,6.9,7.34
202405,PERIODE 2,STR 2,SUNTER,JL RAYA HANKAM LUBANG BUAYA,-6.284368,106.908756,KIMIA,BOD,3.0,26.0
202405,PERIODE 2,STR 2,SUNTER,JL RAYA HANKAM LUBANG BUAYA,-6.284368,106.908756,KIMIA,COD,25.0,84.0
202405,PERIODE 2,STR 2,SUNTER,JL RAYA HANKAM LUBANG BUAYA,-6.284368,106.908756,KIMIA,DO,4.0,1.575
202405,PERIODE 2,STR 2,SUNTER,JL RAYA HANKAM LUBANG BUAYA,-6.284368,106.908756,KIMIA,NITRAT,10.0,0.1
202405,PERIODE 2,STR 2,SUNTER,JL RAYA HANKAM LUBANG BUAYA,-6.284368,106.908756,KIMIA,NITRIT,0.06,0.0312
202405,PERIODE 2,STR 2,SUNTER,JL RAYA HANKAM LUBANG BUAYA,-6.284368,106.908756,KIMIA,TOTAL P,0.2,0.2149
202405,PERIODE 2,STR 2,SUNTER,JL RAYA HANKAM LUBANG BUAYA,-6.284368,106.908756,KIMIA,F,1.5,0.29
202405,PERIODE 2,STR 2,SUNTER,JL RAYA HANKAM LUBANG BUAYA,-6.284368,106.908756,KIMIA,H2S,0.002,0.002
202405,PERIODE 2,STR 2,SUNTER,JL RAYA HANKAM LUBANG BUAYA,-6.284368,106.908756,KIMIA,KLORIN BEBAS N IN SITU,0.03,0.01
202405,PERIODE 2,PSG 5,PESANGGRAHAN,JL INSPEKSI CENGKARENG DRAIN TAMAN KOTA,-6.170194,106.749056,KIMIA,FENOL,0.005,0.0009
202405,PERIODE 2,STR 3,SUNTER,JL KALIMALANG DEPAN SMA PENABUR,-6.239821,106.892149,KIMIA,CD,0.01,0.0009
202405,PERIODE 2,STR 2,SUNTER,JL RAYA HANKAM LUBANG BUAYA,-6.284368,106.908756,KIMIA,ZN,0.05,0.006
202405,PERIODE 2,STR 2,SUNTER,JL RAYA HANKAM LUBANG BUAYA,-6.284368,106.908756,KIMIA,CU,0.02,0.015
202405,PERIODE 2,KLB 4,KALIBARU BARAT,DEPAN TERMINAL PASAR MINGGU,-6.280138635,106.8447554,KIMIA,DO,4.0,1.15
202405,PERIODE 2,KLB 4,KALIBARU BARAT,DEPAN TERMINAL PASAR MINGGU,-6.280138635,106.8447554,KIMIA,NITRAT,10.0,1.0
202405,PERIODE 2,KLB 4,KALIBARU BARAT,DEPAN TERMINAL PASAR MINGGU,-6.280138635,106.8447554,KIMIA,NITRIT,0.06,0.0551
202405,PERIODE 2,KLB 4,KALIBARU BARAT,DEPAN TERMINAL PASAR MINGGU,-6.280138635,106.8447554,KIMIA,TOTAL P,0.2,0.6595
202405,PERIODE 2,KLB 4,KALIBARU BARAT,DEPAN TERMINAL PASAR MINGGU,-6.280138635,106.8447554,KIMIA,F,1.5,0.01
202405,PERIODE 2,KLB 4,KALIBARU BARAT,DEPAN TERMINAL PASAR MINGGU,-6.280138635,106.8447554,KIMIA,H2S,0.002,0.003
202405,PERIODE 2,KLB 4,KALIBARU BARAT,DEPAN TERMINAL PASAR MINGGU,-6.280138635,106.8447554,KIMIA,KLORIN BEBAS,0.03,0.06
202405,PERIODE 2,CLW2 3,CILIWUNG,GUDANG PLN,-6.19819,106.80996,KIMIA,CD,0.01,0.0009
202405,PERIODE 2,KLT 8,KALIBARU TIMUR,JL UTAN PANJANG BARAT PERTIGAAN KE JL KALIBARU TIMUR,-6.164739799,106.8522016,KIMIA,CD,0.01,0.0009
202405,PERIODE 2,KLB 4,KALIBARU BARAT,DEPAN TERMINAL PASAR MINGGU,-6.280138635,106.8447554,KIMIA,ZN,0.05,0.006
202405,PERIODE 2,KLB 4,KALIBARU BARAT,DEPAN TERMINAL PASAR MINGGU,-6.280138635,106.8447554,KIMIA,CU,0.02,0.03
202405,PERIODE 2,KLB 4,KALIBARU BARAT,DEPAN TERMINAL PASAR MINGGU,-6.280138635,106.8447554,KIMIA,PB,0.03,0.002
202405,PERIODE 2,KLB 4,KALIBARU BARAT,DEPAN TERMINAL PASAR MINGGU,-6.280138635,106.8447554,KIMIA,CR6,0.05,0.001
202405,PERIODE 2,KLB 4,KALIBARU BARAT,DEPAN TERMINAL PASAR MINGGU,-6.280138635,106.8447554,KIMIA,MINYAK DAN LEMAK,1.0,0.2
202405,PERIODE 2,KLB 4,KALIBARU BARAT,DEPAN TERMINAL PASAR MINGGU,-6.280138635,106.8447554,KIMIA,MBAS,0.2,0.012
202405,PERIODE 2,KLB 4,KALIBARU BARAT,DEPAN TERMINAL PASAR MINGGU,-6.280138635,106.8447554,KIMIA,FENOL,0.005,0.002
202405,PERIODE 2,KLB 4,KALIBARU BARAT,DEPAN TERMINAL PASAR MINGGU,-6.280138635,106.8447554,BIOLOGI,TOTAL COLIFORM,5000.0,3090.0
202405,PERIODE 2,KLB 4,KALIBARU BARAT,DEPAN TERMINAL PASAR MINGGU,-6.280138635,106.8447554,BIOLOGI,FECAL COLIFORM,1000.0,310.0
202405,PERIODE 2,KLB 4,KALIBARU BARAT,DEPAN TERMINAL PASAR MINGGU,-6.280138635,106.8447554,FISIKA,WARNA,50.0,10.0
202405,PERIODE 2,KLB 4,KALIBARU BARAT,DEPAN TERMINAL PASAR MINGGU,-6.280138635,106.8447554,KIMIA,SULFAT,300.0,25.0
202405,PERIODE 2,KLB 4,KALIBARU BARAT,DEPAN TERMINAL PASAR MINGGU,-6.280138635,106.8447554,KIMIA,KLORIDA,300.0,17.0
202405,PERIODE 2,KLB 4,KALIBARU BARAT,DEPAN TERMINAL PASAR MINGGU,-6.280138635,106.8447554,KIMIA,AMONIAK,0.2,3.24
202405,PERIODE 2,KLB 4,KALIBARU BARAT,DEPAN TERMINAL PASAR MINGGU,-6.280138635,106.8447554,KIMIA,TOTAL N,15.0,4.2257
