periode_data,tahun,nama_provinsi,nama_kabupaten_kota,nama_kecamatan,nama_kelurahan,usia,jenis_kelamin,jumlah_penduduk
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET TIMUR,15-19,LAKI-LAKI,793
2013,2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,15-19,LAKI-LAKI,1095
2013,2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,JOGLO,15-19,LAKI-LAKI,1933
2013,2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,SRENGSENG,15-19,LAKI-LAKI,2064
2013,2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,MERUYA SELATAN,15-19,LAKI-LAKI,1331
2013,2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,MERUYA UTARA,15-19,LAKI-LAKI,1728
2013,2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,15-19,LAKI-LAKI,2571
2013,2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,PALMERAH,KOTA BAMBU SELATAN,15-19,LAKI-LAKI,1125
2013,2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,PALMERAH,KEMANGGISAN,15-19,LAKI-LAKI,1645
2013,2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,PALMERAH,JATI PULO,15-19,LAKI-LAKI,1480
2013,2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,PALMERAH,KOTA BAMBU UTARA,15-19,LAKI-LAKI,1250
2013,2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,PALMERAH,SLIPI,15-19,LAKI-LAKI,814
2013,2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,PALMERAH,PALMERAH,15-19,LAKI-LAKI,3073
2013,2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,KALI DERES,PEGADUNGAN,15-19,LAKI-LAKI,3645
2013,2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,KALI DERES,KAMAL,15-19,LAKI-LAKI,2784
2013,2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,KALI DERES,TEGAL ALUR,15-19,LAKI-LAKI,4264
2013,2013,PROVINSI DKI JAKARTA,JAKARTA BARAT,KALI DERES,SEMANAN,15-19,LAKI-LAKI,3750
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,0-4,LAKI-LAKI,1735
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,0-4,LAKI-LAKI,361
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,RAWA BUNGA,0-4,LAKI-LAKI,1080
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG CEMPEDAK,0-4,LAKI-LAKI,1357
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,0-4,LAKI-LAKI,2552
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,0-4,LAKI-LAKI,1547
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,0-4,LAKI-LAKI,2481
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,KRAMAT JATI,0-4,LAKI-LAKI,1609
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,KAMPUNG TENGAH,0-4,LAKI-LAKI,2160
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,DUKUH,0-4,LAKI-LAKI,1215
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,0-4,LAKI-LAKI,2372
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,0-4,LAKI-LAKI,1275
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CILILITAN,0-4,LAKI-LAKI,1976
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CAWANG,0-4,LAKI-LAKI,1670
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,GEDONG,0-4,LAKI-LAKI,1602
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,BARU,0-4,LAKI-LAKI,1314
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,0-4,LAKI-LAKI,1796
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,KALISARI,0-4,LAKI-LAKI,1835
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,PEKAYON,0-4,LAKI-LAKI,2106
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CAKUNG,JATINEGARA,0-4,LAKI-LAKI,4569
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CAKUNG,RAWA TERATE,0-4,LAKI-LAKI,1426
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CAKUNG,PENGGILINGAN,0-4,LAKI-LAKI,4418
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,0-4,LAKI-LAKI,2917
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CAKUNG,PULO GEBANG,0-4,LAKI-LAKI,3972
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CAKUNG,UJUNG MENTENG,0-4,LAKI-LAKI,1363
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,0-4,LAKI-LAKI,3033
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,0-4,LAKI-LAKI,2435
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK BAMBU,0-4,LAKI-LAKI,2729
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,KLENDER,0-4,LAKI-LAKI,3501
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,0-4,LAKI-LAKI,2837
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,MALAKA SARI,0-4,LAKI-LAKI,1310
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,MALAKA JAYA,0-4,LAKI-LAKI,1470
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KOPI,0-4,LAKI-LAKI,1452
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,MAKASAR,MAKASAR,0-4,LAKI-LAKI,1641
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,MAKASAR,PINANG RANTI,0-4,LAKI-LAKI,1251
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,MAKASAR,KEBON PALA,0-4,LAKI-LAKI,2358
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,0-4,LAKI-LAKI,1297
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,0-4,LAKI-LAKI,1863
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIRACAS,0-4,LAKI-LAKI,2933
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIBUBUR,0-4,LAKI-LAKI,2891
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIRACAS,KELAPA DUA WETAN,0-4,LAKI-LAKI,2048
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIRACAS,SUSUKAN,0-4,LAKI-LAKI,1872
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIRACAS,RAMBUTAN,0-4,LAKI-LAKI,1723
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,0-4,LAKI-LAKI,1097
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CILANGKAP,0-4,LAKI-LAKI,1163
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,PONDOK RANGGON,0-4,LAKI-LAKI,1056
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,MUNJUL,0-4,LAKI-LAKI,1032
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,SETU,0-4,LAKI-LAKI,833
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,0-4,LAKI-LAKI,1164
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,LUBANG BUAYA,0-4,LAKI-LAKI,2926
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CEGER,0-4,LAKI-LAKI,864
2013,2013,PROVINSI DKI JAKARTA,KEPULAUAN SERIBU,KEP. SERIBU UTR,P. KELAPA,20-24,PEREMPUAN,84
2013,2013,PROVINSI DKI JAKARTA,KEPULAUAN SERIBU,KEP. SERIBU UTR,P. HARAPAN,20-24,PEREMPUAN,261
2013,2013,PROVINSI DKI JAKARTA,KEPULAUAN SERIBU,KEP. SERIBU SLT,P. UNTUNG JAWA,20-24,PEREMPUAN,231
2013,2013,PROVINSI DKI JAKARTA,KEPULAUAN SERIBU,KEP. SERIBU SLT,P. TIDUNG,20-24,PEREMPUAN,106
2013,2013,PROVINSI DKI JAKARTA,KEPULAUAN SERIBU,KEP. SERIBU SLT,P. PARI,20-24,PEREMPUAN,124
2013,2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,GAMBIR,20-24,PEREMPUAN,144
2013,2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,20-24,PEREMPUAN,687
2013,2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,20-24,PEREMPUAN,812
2013,2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,20-24,PEREMPUAN,783
2013,2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,20-24,PEREMPUAN,530
2013,2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,DURI PULO,20-24,PEREMPUAN,1026
2013,2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,20-24,PEREMPUAN,484
2013,2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,20-24,PEREMPUAN,1226
2013,2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARTINI,20-24,PEREMPUAN,1001
2013,2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,20-24,PEREMPUAN,669
2013,2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,20-24,PEREMPUAN,1304
2013,2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,20-24,PEREMPUAN,949
2013,2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,20-24,PEREMPUAN,1102
2013,2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,20-24,PEREMPUAN,975
2013,2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,SERDANG,20-24,PEREMPUAN,1155
2013,2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,20-24,PEREMPUAN,845
2013,2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,20-24,PEREMPUAN,1344
2013,2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,20-24,PEREMPUAN,938
2013,2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,20-24,PEREMPUAN,1294
2013,2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,SENEN,20-24,PEREMPUAN,290
2013,2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,KENARI,20-24,PEREMPUAN,431
2013,2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,PASEBAN,20-24,PEREMPUAN,1071
2013,2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,KRAMAT,20-24,PEREMPUAN,1386
2013,2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,KWITANG,20-24,PEREMPUAN,655
2013,2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,20-24,PEREMPUAN,897
2013,2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,20-24,PEREMPUAN,889
2013,2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,20-24,PEREMPUAN,1367
2013,2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,20-24,PEREMPUAN,880
2013,2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,MENTENG,20-24,PEREMPUAN,1087
2013,2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,PEGANGSAAN,20-24,PEREMPUAN,1002
2013,2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,CIKINI,20-24,PEREMPUAN,375
2013,2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,GONDANGDIA,20-24,PEREMPUAN,163
2013,2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,KEBON SIRIH,20-24,PEREMPUAN,587
2013,2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,20-24,PEREMPUAN,122
2013,2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,20-24,PEREMPUAN,938
2013,2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,20-24,PEREMPUAN,736
2013,2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,20-24,PEREMPUAN,1613
2013,2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,20-24,PEREMPUAN,1585
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK BAMBU,60-64,LAKI-LAKI,1145
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,KLENDER,60-64,LAKI-LAKI,1127
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,60-64,LAKI-LAKI,1363
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,MALAKA SARI,60-64,LAKI-LAKI,527
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,MALAKA JAYA,60-64,LAKI-LAKI,496
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KOPI,60-64,LAKI-LAKI,629
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,MAKASAR,MAKASAR,60-64,LAKI-LAKI,632
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,MAKASAR,PINANG RANTI,60-64,LAKI-LAKI,383
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,MAKASAR,KEBON PALA,60-64,LAKI-LAKI,812
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,60-64,LAKI-LAKI,275
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,60-64,LAKI-LAKI,750
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIRACAS,60-64,LAKI-LAKI,1033
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIBUBUR,60-64,LAKI-LAKI,1033
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIRACAS,KELAPA DUA WETAN,60-64,LAKI-LAKI,787
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIRACAS,SUSUKAN,60-64,LAKI-LAKI,606
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIRACAS,RAMBUTAN,60-64,LAKI-LAKI,539
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,60-64,LAKI-LAKI,374
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CILANGKAP,60-64,LAKI-LAKI,267
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,PONDOK RANGGON,60-64,LAKI-LAKI,271
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,MUNJUL,60-64,LAKI-LAKI,302
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,SETU,60-64,LAKI-LAKI,254
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,60-64,LAKI-LAKI,377
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,LUBANG BUAYA,60-64,LAKI-LAKI,959
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CEGER,60-64,LAKI-LAKI,279
2013,2013,PROVINSI DKI JAKARTA,KEPULAUAN SERIBU,KEP. SERIBU UTR,P. PANGGANG,65-69,LAKI-LAKI,36
2013,2013,PROVINSI DKI JAKARTA,KEPULAUAN SERIBU,KEP. SERIBU UTR,P. KELAPA,65-69,LAKI-LAKI,12
2013,2013,PROVINSI DKI JAKARTA,KEPULAUAN SERIBU,KEP. SERIBU UTR,P. HARAPAN,65-69,LAKI-LAKI,18
2013,2013,PROVINSI DKI JAKARTA,KEPULAUAN SERIBU,KEP. SERIBU SLT,P. UNTUNG JAWA,65-69,LAKI-LAKI,40
